stone_id,stone_name,stone_type   ,origin_country,color_main,color_secondary,color_tone,pattern_type,style_tag,price_min,price_max,price_cut_min,price_cut_max,popular_use,indoor_outdoor,luxury_level,source_url,vein_intensity,vein_direction,background_cleanliness,bookmatch_potential,translucency_level,surface_recommendation
M001,WHITE CARRARA,marble,Italy,white,grey,light,vein,classic,1590,2890,2990,4390,"flooring, wall_cladding, bathroom, countertop",indoor,mid,https://www.siamtak.com/products/white-carrara,medium,random,clean,medium,low,polished
M002,ARABESCATO,marble,Italy,white,grey,light,vein,luxury,2390,6990,4190,10490,"feature_wall, flooring, bathroom, countertop",indoor,high,https://www.siamtak.com/products/arabescato,high,random,dramatic,high,medium,polished
M003,NEW MARFIL,marble,Türkiye,beige,cream,light,cloud,minimal,1590,2390,2590,3590,"flooring, wall_cladding, bathroom",indoor,mid,https://www.siamtak.com/products/new-marfil,low,none,clean,low,low,polished
M004,WHITE VOLAKAS MARINA,marble,Greece,white,grey,light,vein,elegant,1990,2990,2990,4490,"flooring, feature_wall, bathroom, countertop",indoor,mid,https://www.siamtak.com/products/white-volakas-marina,medium,linear,clean,high,medium,polished
M005,ARISTON WHITE,marble,Greece,white,light_grey,light,vein,luxury,2190,5990,3290,7490,"feature_wall, flooring, bathroom, vanity_top",indoor,high,https://www.siamtak.com/products/ariston-white,low,linear,very_clean,medium,medium,polished
M006,MOON WHITE,marble,Greece,white,light_grey,light,linear,modern,1990,2590,2990,3890,"flooring, wall_cladding, bathroom",indoor,mid,https://www.siamtak.com/products/moon-white,low,linear,clean,medium,low,polished
M007,GALALA CLASSIC,marble,EGYPT,beige,light_brown,warm_light,cloud,classic,1190,1190,1790,1790,"flooring, wall_cladding, exterior_wall",both,mid,https://www.siamtak.com/products/galala-classic,low,none,cloudy,low,low,polished
M008,VOLAKAS BLUE,marble,Greece,grey,blue,cool_light,linear,modern,1590,2990,2390,4490,"feature_wall, flooring, bathroom, accent_area",indoor,mid,https://www.siamtak.com/products/volakas-blue,medium,linear,clean,high,medium,polished
M009,LIGHT TRAVERTINE,marble,Türkiye,beige,cream,warm_light,linear,rustic,1590,2590,2390,3890,"wall_cladding, exterior_wall, flooring, landscape",both,mid,https://www.siamtak.com/products/light-travertine,low,linear,natural,low,low,honed
M010,WOODEN TRAVERTINE,marble,Turkey ,brown,beige,warm_medium,linear,rustic,1290,1490,1990,2290,"wall_cladding, exterior_wall, landscape, feature_wall",both,mid,https://www.siamtak.com/products/wooden-travertine,medium,linear,natural,low,low,honed
M011,PALISSANDRO CLASSICO,marble,Italy,beige,brown,warm_light,linear,luxury,1990,4590,2990,6890,"feature_wall, flooring, staircase, countertop",indoor,high,https://www.siamtak.com/products/palissandro-classico,medium,linear,dramatic,high,medium,polished
M012,PALISSANDRO BLUETTE,marble,Italy,blue,grey,cool_medium,linear,luxury,4990,7990,7490,10490,"feature_wall, lobby_wall, statement_floor, luxury_residence",indoor,premium,https://www.siamtak.com/products/palissandro-bluette,high,linear,dramatic,very_high,medium,polished
M013,GREY EMPERADOR,marble,Türkiye,grey,white,warm_grey,web,classic,1590,2190,2390,3290,"flooring, wall_cladding, bathroom, column_wrap",indoor,mid,https://www.siamtak.com/products/grey-emperador,high,random,busy,medium,low,polished
M014,PANDA WHITE,marble,China,white,black,neutral,bold_linear,luxury,2590,5490,3890,8290,"feature_wall, bookmatch_wall, luxury_bathroom, statement_floor",indoor,high,https://www.siamtak.com/products/panda-white,very_high,linear,clean,very_high,medium,polished
M015,CREMA MARFIL,marble,Türkiye,beige,cream,warm_light,cloud,classic,1890,1990,2390,2990,"flooring, wall_cladding, living_area, hotel_lobby",indoor,mid,https://www.siamtak.com/products/crema-marfil,low,random,clean,low,low,polished
M016,ONYX GREEN,marble,India,green,white,cool_light,flow,artistic,1490,1890,2290,2890,"feature_wall, decorative_panel, backlit_wall, bathroom_feature",indoor,mid,https://www.siamtak.com/products/onyx-green,medium,flow,dynamic,high,high,polished
M017,STATUARIO GIOIA,marble,Italy,white,grey,cool_light,dramatic_linear,luxury,2990,5990,4490,8990,"feature_wall, bookmatch_wall, luxury_flooring, island_countertop",indoor,high,https://www.siamtak.com/products/statuario-gioia,high,linear,clean,very_high,medium,polished
M018,PERLATO,marble,Greece,beige,cream,warm_light,fossil,natural_classic,1990,1990,2990,2990,"flooring, wall_cladding, living_area, commercial_space",indoor,mid,https://www.siamtak.com/products/perlato,low,random,textured,low,low,polished_or_honed
M019,ICE JADE,marble,China,white,green_black,cool,breccia,ultra_luxury,8990,8990,16990,16990,"feature_wall, luxury_lobby, statement_island, art_panel",indoor,premium,https://www.siamtak.com/products/ice-jade,very_high,random,dramatic,medium,medium,polished
M020,VAN GOGH ONYX,marble,Iran,orange,green_white,warm,flow,artistic_ultra_luxury,5990,13990,18000,18000,"backlit_feature_wall, art_panel, luxury_lobby, statement_counter",indoor,premium,https://www.siamtak.com/products/van-gogh-onyx,very_high,flow,dramatic,very_high,very_high,polished
M021,BRECCIA DAMASCATA,marble,Italy,red,beige,warm,breccia,classic_luxury,"2,590","2,590",3890,8500,"feature_wall, flooring, column_wrap, luxury_lobby",indoor,high,https://www.siamtak.com/products/breccia-damascata,high,random,dramatic,medium,low,polished
M022,VOLAKAS ONEIRO,marble,Greece,white,grey,cool_light,flow,elegant,1390,2990,2090,4490,"flooring, wall_cladding, bathroom, feature_wall",indoor,mid,https://www.siamtak.com/products/volakas-oneiro,medium,flow,clean,high,low,polished
M023,ROSSO LEVANTO,marble,Türkiye,red,white,warm_dark,breccia,bold_classic,2190,2390,3290,3590,"feature_wall, bathroom_wall, column_wrap, accent_panel",indoor,high,https://www.siamtak.com/products/rosso-levanto,very_high,random,dramatic,medium,low,polished
M024,JASPER RED,marble,unknown,red,white,warm_dark,linear,bold_luxury,2290,2290,4490,4490,"feature_wall, luxury_bar, statement_floor, accent_panel",indoor,high,https://www.siamtak.com/products/jasper-red,high,linear,dramatic,high,low,polished
M025,ITALIAN GREEN,marble,India,green,dark_green,cool_dark,web_vein,classic_luxury,879,990,1390,1690,"floor, wall, bathroom, classic_space",indoor,mid,https://www.siamtak.com/products/italian-green,high,random,busy,medium,low,polished
M026,ROSSO VALENTINO,marble,Vietnam,white,red,warm_contrast,breccia,luxury_statement,3359,3359,5090,5090,"feature_wall, luxury_lobby, statement_floor, bookmatch_wall",indoor,premium,https://www.siamtak.com/products/rosso-valentino,very_high,random,dramatic,very_high,low,polished
M027,CALACATTA VIOLA,marble,Italy,white,burgundy,warm_luxury,bold_vein,ultra_luxury_statement,8990,16990,14390,27090,"luxury_lobby, villa_feature_wall, statement_counter, bookmatch_wall",,premium,https://www.siamtak.com/products/calacatta-viola,extreme,diagonal_random,clean_white,extremely_high,low,polished
M028,AZUL CALCITE,marble,Brazil,light_blue,beige_gray,cool_soft,linear_flow,resort_luxury_soft,1990,2990,2990,4490,"spa_wall, bathroom_feature, boutique_lobby, condo_counter",indoor,mid,https://www.siamtak.com/products/azul-calcite,medium,diagonal_flow,medium_blend,high,medium,polished_or_honed
M029,SUPERGENTI GREY,marble,China,light_grey,warm_beige,neutral_warmhorizontal_layermodern_minimal,,,1490,1790,2290,2690,"flooring, condo_wall, bathroom_wall, commercial_project",indoor,mid,https://www.siamtak.com/products/supergenti-grey,low,horizontal,high_uniform,low,low,honed_or_polished
